movie_id,title,industry,genre,budget_million,release_year,runtime_min,critic_rating,audience_rating,review_sentiment,review_volume,star_power,social_media_buzz,marketing_spend_million,box_office_collection
1,Goliyon Ki Raasleela Ram-Leela,Hindi,Action,43.01,2015,159,6.0,5.9,-0.16,1980,6.8,107,38.71,381.48
2,Ustad Hotel (2018),Bengali,Comedy,31.52,2022,131,7.5,8.2,-0.81,4205,2.2,907,28.37,81.57
3,Mubarakan,Hindi,Musical,263.79,2013,122,5.0,6.5,-0.43,2137,2.7,508,63.24,899.59
4,Chennai Express,Tamil,Drama,10.74,2014,143,7.3,8.3,-0.14,5225,4.7,10,9.67,40.45
5,Bareilly Ki Barfi,Marathi,Romance,79.2,2017,161,7.8,7.7,0.57,1396,5.6,10,71.28,154.86
6,Special 26,Hindi,Romance,18.47,2011,133,5.7,4.6,0.22,1900,4.2,161,16.62,24.44
7,Jailer (2025),Malayalam,Action,47.09,2020,118,6.1,5.9,-0.44,1861,4.8,3207,42.38,196.72
8,Andhadhun,Hindi,Comedy,297.88,2016,134,5.7,4.6,-0.18,229,6.5,2517,48.83,1404.72
9,Goliyon Ki Raasleela Ram-Leela (2019),Telugu,Family,1.71,2019,152,7.1,8.2,0.6,553,4.7,2034,1.54,61.3
10,Mukkabaaz,Hindi,Crime,202.23,2012,123,8.2,8.4,0.27,2022,6.4,3017,69.96,1602.75
11,Toilet: Ek Prem Katha,Malayalam,Sports,82.27,2015,144,8.8,8.3,-0.2,1876,5.7,10,65.43,95.49
12,Fukrey Returns,Telugu,Action,31.67,2013,136,8.2,9.0,0.72,2586,5.7,3121,25.85,161.67
13,Bhaag Milkha Bhaag,Hindi,Romance,155.95,2013,146,5.3,5.4,0.03,2516,8.5,503,47.88,355.08
14,Bajirao Mastani,Hindi,Biopic,138.93,2025,127,7.0,6.8,0.01,1982,5.8,2318,3.6,208.78
15,Tanu Weds Manu (2019),Hindi,Drama,148.92,2011,140,6.4,5.3,-0.05,256,6.3,1471,43.86,230.36
16,Premam (Malayalam),Malayalam,Action,54.83,2010,142,5.1,7.0,0.67,2300,2.4,414,21.12,60.37
17,Gangs of Wasseypur (2014),Hindi,Family,165.72,2021,144,5.1,4.9,0.56,2677,4.2,3621,26.4,1310.87
18,Vada Chennai,Hindi,Romance,165.19,2017,143,7.1,8.5,-0.74,2117,5.3,2060,63.64,792.4
19,Dabangg,Marathi,Romance,10.73,2010,139,8.5,8.7,0.04,309,2.4,5372,9.66,187.84
20,Toilet: Ek Prem Katha (2021),Bengali,Action,83.01,2014,146,8.3,9.8,0.79,1754,7.2,10,50.31,256.33
21,Queen (2014),Hindi,Musical,160.53,2022,161,8.1,7.9,0.47,3216,8.9,1781,79.25,319.86
22,Ustad Hotel,Hindi,Comedy,251.07,2023,130,7.0,8.1,0.32,2905,7.2,2399,49.28,332.07
23,Drishyam (Malayalam),Tamil,Drama,31.65,2025,171,7.4,9.4,-0.99,2806,4.6,2172,28.48,65.9
24,Soorarai Pottru (2023),Malayalam,Action,24.39,2019,153,5.7,5.8,0.81,2840,5.5,10,18.47,87.91
25,Sairat (2021),Marathi,Action,76.32,2014,148,5.5,5.7,0.64,3307,10.0,3136,42.34,182.87
26,Andhadhun (2010),Tamil,Romance,15.57,2024,128,7.6,6.1,-0.73,1966,5.0,1804,14.01,65.26
27,Soodhu Kavvum,Telugu,Thriller,89.73,2019,125,9.4,10.0,-0.83,1791,6.4,10,69.39,303.75
28,Uri: The Surgical Strike,Marathi,Action,96.46,2012,143,5.8,3.7,0.27,1838,7.0,10,53.48,470.72
29,Sanju,Marathi,Action,48.33,2024,139,5.3,6.6,-0.05,1629,6.6,10,43.5,37.62
30,Master,Malayalam,Family,22.38,2014,134,9.0,9.0,0.36,2438,2.9,3135,11.36,109.23
31,Madras,Hindi,Thriller,143.11,2021,127,6.7,7.1,0.65,1627,6.5,4459,8.44,1256.16
32,Bangalore Days (2011),Hindi,Drama,127.02,2011,101,6.3,9.0,-0.98,2941,7.1,1416,41.76,874.64
33,Sairat (2021) (2025),Marathi,Drama,14.45,2024,143,7.8,7.9,-0.26,1170,5.5,10,13.0,30.25
34,Chennai Express (2023),Hindi,Drama,93.44,2018,142,6.6,7.1,0.56,2292,1.5,10,24.58,108.73
35,Vikram (2024),Hindi,Drama,203.13,2021,142,6.5,7.0,0.3,87,7.7,5463,62.27,825.33
36,Baahubali: The Beginning (2021),Telugu,Comedy,58.46,2018,144,6.1,5.1,0.35,3893,4.4,10,52.61,121.19
37,Vikram (2024) (2012),Telugu,Thriller,93.16,2018,116,6.5,6.7,-0.4,1347,4.6,4004,75.95,555.02
38,Panga,Hindi,Romance,132.68,2023,118,6.2,6.1,0.92,2706,6.1,2163,21.13,363.83
39,Kaithi,Hindi,Drama,249.67,2015,127,8.1,7.6,0.91,3899,5.8,2303,68.41,1102.67
40,Newton,Telugu,Drama,57.16,2020,139,8.4,9.3,-0.54,1751,3.5,2709,26.07,149.25
41,Premam (Malayalam) (2014),Malayalam,Action,89.62,2014,139,7.2,4.6,0.27,4400,5.8,155,22.41,207.45
42,Jai Bhim,Hindi,Thriller,75.92,2014,140,5.4,5.3,0.9,2823,2.9,5466,46.62,449.19
43,Kantara,Telugu,Musical,84.82,2021,161,5.9,4.8,-0.49,2256,7.5,10,3.11,170.81
44,Andhadhun (2018),Tamil,Action,81.37,2012,132,7.6,8.9,0.31,2888,2.4,2139,34.31,127.52
45,Tanhaji (2021),Tamil,Drama,37.17,2018,127,7.3,8.6,-0.9,1804,4.8,10,33.45,119.2
46,Bajrangi Bhaijaan,Hindi,Action,215.22,2019,133,7.1,8.2,0.61,1698,8.9,10,53.05,448.92
47,Premam (Telugu remake),Malayalam,Romance,27.98,2020,135,9.3,10.0,0.26,1824,6.3,10,25.18,111.16
48,Sanju (2021),Malayalam,Thriller,71.86,2024,152,6.4,7.8,0.72,3108,7.7,265,16.02,183.37
49,Dhoom 3,Hindi,Comedy,202.96,2012,164,3.9,4.0,0.01,358,7.6,1059,1.78,1472.02
50,Paan Singh Tomar,Bengali,Romance,24.64,2010,153,7.2,8.0,-0.9,2059,9.6,1579,22.18,99.85
51,Raees,Hindi,Musical,243.59,2021,155,8.3,9.6,0.0,1326,5.6,559,74.86,1653.03
52,Vada Chennai (2011),Telugu,Drama,55.56,2013,124,5.2,6.7,-0.33,181,4.7,4567,5.93,242.74
53,Housefull 3,Telugu,Drama,21.73,2012,142,6.5,7.5,-0.77,3026,7.3,2822,19.56,205.09
54,Badlapur,Bengali,Drama,52.59,2018,136,5.4,6.6,-0.15,3242,3.8,10,21.51,53.69
55,Bell Bottom,Tamil,Thriller,15.68,2021,122,6.9,9.0,-0.08,1246,6.2,10,14.11,54.49
56,Sairat (2021) (2016),Marathi,Comedy,61.59,2018,123,5.4,6.7,0.89,2325,5.6,2053,47.21,197.54
57,Kabali (2021),Hindi,Crime,164.89,2010,151,8.3,7.8,0.33,2837,9.4,1472,26.5,1368.53
58,Gangs of Wasseypur,Hindi,Romance,218.42,2024,140,6.4,8.3,-0.52,3548,5.0,2026,16.34,790.87
59,Baahubali: The Beginning (2021) (2012),Telugu,Drama,9.1,2024,136,7.3,6.2,0.19,1553,2.6,4049,8.19,120.78
60,War,Tamil,Drama,62.25,2024,153,7.6,7.1,-0.26,2045,6.3,3032,43.3,216.65
61,Uri: The Surgical Strike (2014),Hindi,Comedy,126.35,2018,144,7.6,7.9,0.07,3526,6.8,541,33.84,609.12
62,Soorarai Pottru,Malayalam,Romance,7.03,2022,151,6.5,7.1,-0.18,1548,3.5,3126,6.33,56.15
63,Bajirao Mastani (2013),Telugu,Comedy,82.91,2014,160,6.2,8.4,-0.49,382,5.5,1811,69.87,361.11
64,Dabangg (2023),Hindi,Action,154.16,2014,136,5.5,6.0,-0.61,5582,6.8,3193,67.11,1024.91
65,Robot (Enthiran),Telugu,Romance,41.99,2015,128,8.3,5.8,0.48,1499,6.2,3741,37.79,134.05
66,Vikram Vedha,Hindi,Musical,76.25,2023,128,6.2,6.6,0.22,167,3.2,370,17.95,548.36
67,Dum Laga Ke Haisha,Telugu,Musical,68.38,2024,162,5.9,5.6,0.09,725,5.3,1613,61.54,302.61
68,Zindagi Na Milegi Dobara,Hindi,Thriller,65.84,2016,152,6.2,6.5,-0.16,261,5.9,10,45.07,262.35
69,Vikram Vedha (2022),Telugu,Thriller,75.63,2018,155,6.4,6.4,-0.43,1670,8.1,7743,65.74,176.01
