movie_id,title,genre,budget_million,release_year,runtime_min,critic_rating,audience_rating,review_sentiment,review_volume,star_power,social_media_buzz,marketing_spend_million,box_office_collection
1,Quantum Mirage (2006),Horror,77.59,2006,134,8.5,4.6,0.86,2502,0.43,116157,5.74,308.42
2,Eternal Odyssey (2019),Thriller,26.09,2019,96,6.6,6.7,0.31,24988,0.89,131383,2.7,262.96
3,Broken Rebellion (2014),Action,54.06,2014,176,4.2,7.4,-0.77,31243,0.41,88878,9.58,5.0
4,Fallen Odyssey (2010),Thriller,58.03,2010,116,8.1,4.3,0.16,45859,0.77,73383,11.79,265.53
5,Hidden Code (2007),Romance,145.53,2007,117,9.1,6.3,-0.36,1921,0.59,75516,13.48,281.92
6,Fallen Mirage (2020),Horror,14.47,2020,156,7.0,5.5,-0.23,3974,0.98,17674,46.89,91.41
7,Lost Odyssey (2006),Action,131.98,2006,110,7.4,4.2,-0.12,25617,0.35,99733,27.92,331.26
8,Crimson Echo (2018),Thriller,48.17,2018,126,4.9,4.7,-0.15,9480,0.88,132669,29.26,288.2
9,Dark Code (2022),Action,20.96,2022,134,5.3,4.8,0.33,49037,0.64,169367,39.37,206.68
10,Silver Whisper (2010),Adventure,63.66,2010,145,5.4,5.1,0.54,45434,0.3,166397,44.29,198.95
11,Silent Whisper (2010),Romance,48.77,2010,125,6.5,8.7,-0.34,9918,0.48,89709,2.2,221.23
12,Broken Shadow (2023),Comedy,112.65,2023,141,9.4,6.5,0.85,12890,0.59,185824,51.69,519.41
13,Silent Mirage (2020),Comedy,74.69,2020,86,7.0,4.9,0.88,23062,0.52,90975,59.33,393.71
14,Broken Journey (2003),Horror,193.37,2003,154,5.1,4.6,-0.92,28471,0.55,165512,9.06,349.12
15,Dark Mirage (2007),Thriller,192.89,2007,115,5.5,5.7,-0.97,29045,0.94,150034,39.76,631.69
16,Dark Mirage (2023),Drama,91.52,2023,107,6.2,8.6,-0.15,33799,0.55,104825,2.14,287.05
17,Neon Frontier (2002),Romance,160.04,2002,160,7.6,6.1,0.18,34887,0.59,9232,4.84,470.13
18,Quantum Mirage (2021),Thriller,7.59,2021,138,6.6,4.9,-0.44,18175,0.83,5479,18.53,187.25
19,Final Frontier (2020),Thriller,111.82,2020,112,6.3,6.3,-0.48,20008,0.86,85853,51.09,236.81
20,Infinite Shadow (2001),Comedy,149.94,2001,163,7.3,7.2,0.36,37381,0.36,183039,39.85,366.16
21,Quantum Legacy (2023),Horror,47.3,2023,103,5.4,4.2,0.2,9819,0.79,169118,27.86,227.54
22,Silent Rebellion (2011),Action,16.93,2011,160,4.5,7.6,-0.67,45707,0.64,89827,27.44,120.19
23,Final Shadow (2005),Romance,35.4,2005,132,4.1,6.3,0.77,4411,0.39,182287,29.03,190.98
24,Neon Mirage (2001),Adventure,91.16,2001,86,5.5,4.1,0.36,30872,0.49,47678,20.04,209.51
25,Crimson Code (2020),Action,103.74,2020,95,4.5,7.9,-0.27,40427,0.33,143560,52.91,313.21
26,Infinite Journey (2000),Sci-Fi,79.27,2000,128,6.0,8.1,0.37,46428,0.55,137476,34.94,345.06
27,Infinite Storm (2011),Sci-Fi,90.79,2011,143,8.5,7.6,-0.77,14225,0.48,144497,30.07,151.86
28,Broken Odyssey (2021),Romance,96.7,2021,143,8.2,6.0,-0.06,34375,0.57,177615,28.97,278.91
29,Midnight Shadow (2011),Horror,155.04,2011,122,7.5,7.1,-0.66,38695,0.71,194087,56.28,249.21
30,Silver Dream (2024),Drama,25.52,2024,109,8.9,6.2,-0.92,46104,0.81,91012,43.97,75.5
31,Neon Echo (2016),Sci-Fi,154.95,2016,105,5.6,8.1,-0.32,48061,0.72,191049,10.4,397.92
32,Eternal Odyssey (2009),Comedy,139.28,2009,126,9.1,7.4,-0.7,39764,0.77,137337,27.34,356.93
33,Dark Mirage (2015),Drama,149.62,2015,120,6.3,4.5,0.27,2187,0.91,96105,18.73,412.63
34,Dark Storm (2014),Thriller,148.22,2014,93,6.3,7.7,0.35,39255,0.91,179584,59.24,421.93
35,Quantum Frontier (2014),Sci-Fi,96.77,2014,96,6.4,8.0,-0.7,21355,0.9,109029,26.09,186.96
36,Silver Odyssey (2018),Comedy,46.22,2018,94,4.6,6.2,-0.95,29379,0.41,84028,5.94,42.55
37,Final Horizon (2011),Thriller,109.64,2011,143,9.7,9.1,0.59,22565,0.48,117274,25.85,487.38
38,Fallen Empire (2022),Drama,191.81,2022,89,4.8,8.9,-1.0,16591,0.65,188998,20.64,176.7
39,Silent Storm (2019),Romance,119.76,2019,117,6.0,5.0,-0.31,13247,0.55,168701,36.78,277.11
40,Fallen Journey (2024),Thriller,7.15,2024,153,5.9,9.2,-0.01,36743,0.39,67648,15.11,90.37
41,Dark Empire (2002),Action,16.64,2002,164,4.4,6.6,0.64,49186,0.5,67648,4.09,260.29
42,Fallen Odyssey (2004),Romance,198.61,2004,147,4.9,8.2,0.68,19461,0.98,109762,7.56,766.82
43,Fallen Horizon (2018),Romance,19.03,2018,113,4.3,8.7,0.45,21101,0.54,148805,18.42,217.73
44,Hidden Echo (2006),Drama,13.98,2006,102,5.7,6.9,-0.51,35297,0.59,168802,22.2,95.91
45,Fallen Code (2020),Drama,73.84,2020,177,9.0,6.3,0.44,42603,0.3,90979,50.4,215.93
46,Silver Frontier (2008),Comedy,194.02,2008,90,6.0,9.3,-0.51,29422,0.8,155784,17.66,313.29
47,Dark Code (2006),Comedy,67.14,2006,137,4.7,5.3,-0.57,38686,0.59,197650,3.83,113.63
48,Fallen Whisper (2017),Action,84.93,2017,166,7.7,5.5,0.09,6690,0.37,158953,47.28,217.82
49,Final Horizon (2003),Romance,128.65,2003,116,9.8,6.1,0.36,24648,0.98,72510,52.4,368.56
50,Quantum Code (2024),Adventure,9.7,2024,126,5.3,9.0,-0.89,48926,0.84,16518,30.55,22.88
51,Final Horizon (2013),Horror,180.06,2013,131,5.6,9.4,-0.88,12435,0.81,147563,18.53,545.99
52,Crimson Whisper (2017),Action,106.29,2017,115,9.6,5.3,0.57,45050,0.97,180758,46.78,326.78
53,Dark Horizon (2008),Action,96.03,2008,146,5.0,9.0,0.72,15080,0.59,33344,2.52,403.91
54,Midnight Horizon (2020),Horror,172.84,2020,140,7.0,5.5,0.21,45258,0.8,79892,55.59,523.87
55,Neon Rebellion (2001),Horror,190.85,2001,95,5.4,9.6,-0.14,43207,0.44,47069,52.2,455.24
56,Neon Echo (2019),Horror,87.57,2019,110,9.4,7.5,0.69,5319,0.79,47273,33.6,392.33
57,Quantum Odyssey (2014),Drama,38.63,2014,176,9.7,4.0,0.46,6419,0.31,182510,18.1,134.2
58,Fallen Whisper (2006),Action,164.06,2006,111,8.7,4.2,0.16,25293,0.39,60826,3.91,342.28
59,Neon Frontier (2011),Action,83.64,2011,167,5.8,4.9,-0.36,31191,0.6,79353,59.99,206.02
60,Golden Rebellion (2007),Thriller,187.43,2007,141,6.3,5.1,-0.6,3310,0.31,56158,46.2,186.2
61,Broken Shadow (2014),Horror,190.23,2014,111,5.4,8.5,-0.16,36683,0.62,143632,21.65,379.54
62,Eternal Dream (2002),Horror,27.39,2002,143,9.2,5.3,-0.43,22836,0.67,82396,3.12,5.0
63,Silver Horizon (2013),Comedy,191.53,2013,146,9.3,9.6,-0.32,2216,0.74,191532,39.08,473.29
64,Fallen Rebellion (2016),Comedy,76.81,2016,104,6.4,7.7,0.03,24781,0.37,51200,59.24,212.74
65,Broken Rebellion (2003),Romance,131.02,2003,87,7.8,8.0,-0.66,789,0.43,183839,43.01,197.29
66,Quantum Shadow (2017),Comedy,11.78,2017,100,5.0,5.3,0.61,5197,0.73,148968,6.86,199.85
67,Quantum Journey (2007),Sci-Fi,178.33,2007,128,6.5,9.2,-0.71,48599,0.76,23497,25.33,381.21
68,Eternal Code (2003),Romance,130.11,2003,177,7.7,7.9,-0.04,27819,0.32,82794,8.33,447.31
69,Midnight Echo (2001),Adventure,130.49,2001,163,6.2,9.0,0.49,49043,0.68,35869,54.91,587.83
70,Quantum Storm (2005),Horror,180.92,2005,114,6.1,9.5,-0.03,1109,0.85,45417,21.16,484.99
71,Silent Rebellion (2021),Thriller,104.13,2021,124,4.0,4.7,-0.28,2853,0.35,6568,44.54,117.98
72,Fallen Odyssey (2009),Comedy,85.05,2009,149,8.7,4.6,-0.05,17419,0.59,108233,6.91,272.48
73,Quantum Labyrinth (2003),Thriller,173.9,2003,113,9.2,8.7,0.7,20175,0.53,44271,9.45,662.87
74,Hidden Mirage (2021),Comedy,149.77,2021,114,9.6,9.0,0.98,20641,0.94,20052,41.41,685.35
75,Midnight Rebellion (2017),Comedy,190.05,2017,116,8.2,7.4,0.26,9448,0.43,129953,50.92,495.55
76,Silver Empire (2011),Thriller,188.32,2011,94,7.2,6.1,0.59,49253,0.52,45013,13.68,588.66
77,Quantum Empire (2001),Action,79.55,2001,175,5.6,7.8,-0.97,7657,0.93,20499,26.26,171.38
78,Silver Journey (2009),Action,92.16,2009,135,9.8,5.8,0.76,4349,0.53,2307,37.93,242.12
79,Broken Shadow (2003),Action,54.92,2003,92,7.4,5.4,0.91,41337,0.67,76922,48.18,332.65
80,Infinite Rebellion (2013),Sci-Fi,133.83,2013,135,8.0,6.8,0.15,41813,0.32,22943,38.44,436.22
81,Silver Legacy (2015),Action,76.09,2015,120,8.0,5.3,0.51,21714,0.99,78203,7.53,447.62
82,Infinite Shadow (2014),Comedy,158.29,2014,139,8.9,6.8,0.03,45351,0.88,87726,33.48,500.61
83,Lost Rebellion (2007),Horror,28.7,2007,119,4.1,9.5,-0.43,37598,0.74,76497,53.31,76.74
84,Dark Echo (2013),Drama,27.7,2013,120,5.3,8.9,0.7,38497,0.34,36362,52.35,239.03
85,Silent Empire (2022),Thriller,44.87,2022,140,7.9,9.5,0.19,31533,0.35,149688,35.93,82.59
86,Fallen Echo (2024),Horror,21.44,2024,120,9.2,8.7,0.16,36263,0.68,5967,59.75,154.43
87,Broken Odyssey (2007),Drama,125.91,2007,173,8.0,6.1,0.32,13824,0.5,42534,8.1,349.97
88,Lost Echo (2020),Horror,33.73,2020,168,6.4,8.7,0.71,12400,0.74,17465,29.76,262.12
